date,closing,adjusted,evolution,quantity,volume
24/12/2021,62230,62230,005,147,914781
23/12/2021,62200,62200,032,4057,2520754
22/12/2021,62000,62000,-143,2534,15731983
21/12/2021,62900,62900,-094,153,96441
20/12/2021,63500,63500,079,100,63350
17/12/2021,63000,63000,000,3942,2483460
16/12/2021,63000,63000,000,6107,3847210
15/12/2021,63000,63000,-079,640,4030232
14/12/2021,63500,63500,000,736,466471
13/12/2021,63500,63500,160,16000,10160000
10/12/2021,62500,62500,-079,833,5228555
09/12/2021,63000,63000,032,3389,21350625
08/12/2021,62800,62800,-032,3,1918
07/12/2021,63000,63000,000,0,0
06/12/2021,63000,63000,000,0,0
03/12/2021,63000,63000,000,172,108451
02/12/2021,63000,63000,-002,187,1178977
01/12/2021,63010,63010,-077,38,239704
30/11/2021,63500,63500,000,0,0
29/11/2021,63500,63500,100,5,3175
26/11/2021,62870,62870,-588,5758,3703890
25/11/2021,66800,66800,000,0,0
24/11/2021,66800,66800,000,0,0
23/11/2021,66800,66800,357,15,10020
22/11/2021,64500,64500,078,4,2580
19/11/2021,64000,64000,-008,82,526127
17/11/2021,64050,64050,008,3227,20653865
16/11/2021,64000,64000,-448,7131,46013866
15/11/2021,67000,67000,000,0,0
12/11/2021,67000,67000,152,39,26130
11/11/2021,66000,66000,000,2039,1345769
10/11/2021,66000,66000,-030,10,6600
09/11/2021,66200,66200,-075,85,563618
08/11/2021,66700,66700,000,0,0
05/11/2021,66700,66700,-045,29,19343
04/11/2021,67000,67000,000,0,0
03/11/2021,67000,67000,000,0,0
02/11/2021,67000,67000,-205,1161,7774825
01/11/2021,68400,68400,000,0,0
29/10/2021,68400,68400,247,26215,17606880
28/10/2021,66750,66750,-184,333,2223184
27/10/2021,68000,68000,-095,15752,105961665
26/10/2021,68650,68650,386,784,5234283
25/10/2021,66100,66100,000,0,0
22/10/2021,66100,66100,-150,4992,32977408
21/10/2021,67110,67110,016,75,513278
18/10/2021,67000,67000,075,120,80200
15/10/2021,66500,66500,-334,454,302367
14/10/2021,68800,68800,000,50,34400
13/10/2021,68800,68800,133,18,123738
12/10/2021,67900,67900,288,15,10185
11/10/2021,66000,66000,000,0,0
08/10/2021,66000,66000,061,83,54745
07/10/2021,65600,65600,077,15,9840
06/10/2021,65100,65100,000,0,0
05/10/2021,65100,65100,-285,1246,8208904
04/10/2021,67010,67010,-034,715,4791215
01/10/2021,67240,67240,-112,357,2416732
30/09/2021,68000,68000,-073,55,37410
29/09/2021,68500,68500,000,0,0
28/09/2021,68500,68500,029,50,34250
27/09/2021,68300,68300,044,12219,8359920
24/09/2021,68000,68000,000,8,5440
23/09/2021,68000,68000,000,0,0
22/09/2021,68000,68000,000,52,35360
21/09/2021,68000,68000,000,0,0
20/09/2021,68000,68000,-159,83,563585
17/09/2021,69100,69100,113,9346,64990814
16/09/2021,68330,68330,000,0,0
15/09/2021,68330,68330,-239,12,81996
14/09/2021,70000,70000,000,0,0
13/09/2021,70000,70000,000,0,0
10/09/2021,70000,70000,000,1000,700000
09/09/2021,70000,70000,-043,4161,29127145
08/09/2021,70300,70300,043,26,18269
07/09/2021,70000,70000,294,13851,96457031
06/09/2021,68000,68000,149,5510,37302539
03/09/2021,67000,67000,000,0,0
02/09/2021,67000,67000,000,2353,1576510
01/09/2021,67000,67000,000,0,0
31/08/2021,67000,67000,-016,2515,1695062
30/08/2021,67110,67110,-131,33,224133
27/08/2021,68000,68000,119,1439,974852
26/08/2021,67200,67200,305,149,100134
25/08/2021,65210,65210,-354,15,97815
24/08/2021,67600,67600,060,2470,16666147
23/08/2021,67200,67200,338,752,505344
19/08/2021,65000,65000,000,128,829738
18/08/2021,65000,65000,-035,600,3914974
17/08/2021,65230,65230,000,0,0
16/08/2021,65230,65230,-235,635,4157321
13/08/2021,66800,66800,245,758,506344
12/08/2021,65200,65200,-121,1,652
11/08/2021,66000,66000,154,28458,184971553
09/08/2021,65000,65000,317,20603,133914198
06/08/2021,63000,63000,000,0,0
05/08/2021,63000,63000,161,2174,13692902
04/08/2021,62000,62000,-221,260,161511
03/08/2021,63400,63400,063,203,126893
02/08/2021,63000,63000,161,1595,991900
29/07/2021,62000,62000,081,81,50220
28/07/2021,61500,61500,-006,129,794382
27/07/2021,61540,61540,020,2,12308
26/07/2021,61420,61420,000,0,0
23/07/2021,61420,61420,000,0,0
20/07/2021,61420,61420,-141,1,6142
19/07/2021,62300,62300,000,16,9968
16/07/2021,62300,62300,180,1512,927726
15/07/2021,61200,61200,-057,697,4265745
14/07/2021,61550,61550,-152,2250,13844972
13/07/2021,62500,62500,000,0,0
12/07/2021,62500,62500,163,10,6250
09/07/2021,61500,61500,000,0,0
08/07/2021,61500,61500,000,1818,11150625
07/07/2021,61500,61500,-081,41,25247
06/07/2021,62000,62000,000,267,165540
05/07/2021,62000,62000,000,2690,1668350
02/07/2021,62000,62000,-032,1883,11692571
01/07/2021,62200,62200,-048,6,3733
30/06/2021,62500,62500,-016,3,1875
29/06/2021,62600,62600,-003,3,1878
28/06/2021,62620,62620,-060,12,75182
25/06/2021,63000,63000,112,8013,5017037
24/06/2021,62300,62300,-180,15,9509
23/06/2021,63440,63440,183,20,126869
22/06/2021,62300,62300,-048,381,2375868
21/06/2021,62600,62600,-142,3884,24438507
18/06/2021,63500,63500,079,7882,4977325
17/06/2021,63000,63000,000,5501,3465630
16/06/2021,63000,63000,-079,1302,820665
15/06/2021,63500,63500,-124,5758,36537585
14/06/2021,64300,64300,-031,7,4451
11/06/2021,64500,64500,174,627,404437
10/06/2021,63400,63400,-094,89,56654
09/06/2021,64000,64000,016,352,224727
08/06/2021,63900,63900,-214,111,71032
07/06/2021,65300,65300,046,1925,1255337
04/06/2021,65000,65000,-091,779,5072824
03/06/2021,65600,65600,-061,330,216585
02/06/2021,66000,66000,076,2140,1412210
01/06/2021,65500,65500,-015,342,224076
31/05/2021,65600,65600,-015,1176,7716179
28/05/2021,65700,65700,-153,1262,8329321
27/05/2021,66720,66720,-042,24,160548
26/05/2021,67000,67000,-147,1112,7449671
25/05/2021,68000,68000,000,93,62186
24/05/2021,68000,68000,-057,11,7500
21/05/2021,68390,68390,362,8,53508
20/05/2021,66000,66000,-009,78724,517147115
19/05/2021,70360,70360,-400,108764,765984811
18/05/2021,73290,73290,069,1,7329
17/05/2021,72790,72790,399,11443,80260284
12/05/2021,70000,70000,-071,11327,7928864
11/05/2021,70500,70500,000,1000,705000
10/05/2021,70500,70500,144,203,141105
07/05/2021,69500,69500,-170,6748,4692950
06/05/2021,70700,70700,-011,9821,6958202
05/05/2021,70780,70780,111,3523,24837794
04/05/2021,70000,70000,000,8075,5653100
03/05/2021,70000,70000,057,3443,24134459
30/04/2021,69600,69600,000,5218,3631728
29/04/2021,69600,69600,-128,1501,1044696
28/04/2021,70500,70500,144,6503,45696201
27/04/2021,69500,69500,000,767,5337768
26/04/2021,69500,69500,-184,8102,5630895
23/04/2021,70800,70800,-014,85,59768
22/04/2021,70900,70900,201,90,637859
21/04/2021,69500,69500,-210,9502,6607963
20/04/2021,70990,70990,141,16666,116664276
19/04/2021,70000,70000,-141,200,140000
16/04/2021,71000,71000,000,2,1420
15/04/2021,71000,71000,000,191,135610
14/04/2021,71000,71000,000,1924,13782224
13/04/2021,71000,71000,000,736,522560
12/04/2021,71000,71000,-056,308,218872
09/04/2021,71400,71400,-070,2627,1898256
08/04/2021,71900,71900,-014,1732,1249771
07/04/2021,72000,72000,042,157,112644
06/04/2021,71700,71700,-042,24284,176190012
05/04/2021,72000,72000,070,568,411877
02/04/2021,71500,71500,-069,367,263290
01/04/2021,72000,72000,142,8975,64776462
31/03/2021,70990,70990,141,750,530954
30/03/2021,70000,70000,000,1382,9789202
29/03/2021,70000,70000,-275,230,161199
26/03/2021,71980,71980,283,6795,48879776
25/03/2021,70000,70000,000,63,44100
24/03/2021,70000,70000,341,7430,51576226
23/03/2021,67690,67690,179,57,372067
22/03/2021,66500,66500,153,1802,1180870
19/03/2021,65500,65500,-134,12,7860
18/03/2021,66390,66390,136,1,6639
17/03/2021,65500,65500,-076,6481,42466496
16/03/2021,66000,66000,000,0,0
15/03/2021,66000,66000,000,26,17160
12/03/2021,66000,66000,000,1612,10639597
11/03/2021,66000,66000,-280,1533,1011528
10/03/2021,67900,67900,000,0,0
09/03/2021,67900,67900,000,0,0
08/03/2021,67900,67900,000,0,0
05/03/2021,67900,67900,000,0,0
04/03/2021,67900,67900,000,0,0
03/03/2021,67900,67900,000,0,0
02/03/2021,67900,67900,398,141,95739
01/03/2021,65300,65300,000,0,0
26/02/2021,65300,65300,-396,287,188484
25/02/2021,67990,67990,000,0,0
24/02/2021,67990,67990,-001,1,6799
23/02/2021,68000,68000,000,0,0
22/02/2021,68000,68000,000,0,0
19/02/2021,68000,68000,149,75,50550
18/02/2021,67000,67000,000,0,0
17/02/2021,67000,67000,000,0,0
16/02/2021,67000,67000,000,0,0
15/02/2021,67000,67000,-233,650,435500
12/02/2021,68600,68600,394,180,122831
11/02/2021,66000,66000,-098,57,378605
10/02/2021,66650,66650,-396,7195,48529415
09/02/2021,69400,69400,-084,4217,2927012
08/02/2021,69990,69990,-003,1660,1161834
05/02/2021,70010,70010,001,88,616088
04/02/2021,70000,70000,-141,152,106600
03/02/2021,71000,71000,320,627,438515
02/02/2021,68800,68800,000,0,0
01/02/2021,68800,68800,073,1500,1032000
29/01/2021,68300,68300,-101,5879,4053857
28/01/2021,69000,69000,-143,100,69000
27/01/2021,70000,70000,000,0,0
26/01/2021,70000,70000,246,6222,42333414
25/01/2021,68320,68320,199,1,6832
22/01/2021,66990,66990,013,13919,93249679
21/01/2021,66900,66900,-030,16624,11117576
