date,closing,adjusted,evolution,quantity,volume
30/08/2021,17500,17233,000,172,29913
27/08/2021,17500,17233,000,22844,3987700
26/08/2021,17500,17233,000,6639,1160603
25/08/2021,17500,17233,057,18,31509
24/08/2021,17400,17134,-192,3036,52532805
23/08/2021,17740,17469,374,3401,6003034
19/08/2021,17100,16839,-058,23638,40417042
18/08/2021,17200,16937,-003,1405,2412688
17/08/2021,17205,16942,-043,581,9996105
16/08/2021,17280,17016,-012,150,25920
13/08/2021,17300,17036,176,15158,26175827
12/08/2021,17000,16740,-058,5551,9461713
11/08/2021,17100,16839,000,91,15561
09/08/2021,17100,16839,006,156,266748
06/08/2021,17090,16829,112,44651,7549819
05/08/2021,16900,16642,000,1039,17546285
04/08/2021,16900,16642,-059,60297,1016354825
03/08/2021,17000,16740,180,15046,25405091
02/08/2021,16700,16445,-176,4063,678701
29/07/2021,17000,16740,000,0,0
28/07/2021,17000,16740,059,6,10055
27/07/2021,16900,16642,060,324,54300
26/07/2021,16800,16543,060,2293,382692
23/07/2021,16700,16445,091,5947,993249
20/07/2021,16550,16297,000,0,0
19/07/2021,16550,16297,-119,3292,546552
16/07/2021,16750,16494,030,6480,108671895
15/07/2021,16700,16445,183,347,57970
14/07/2021,16900,16642,-117,586,990283
13/07/2021,17100,16839,059,5249,8972076
12/07/2021,17000,16740,000,5865,997050
09/07/2021,17000,16740,-116,6019,1023230
08/07/2021,17200,16937,178,29,4988
07/07/2021,16900,16642,030,9793,1666328
06/07/2021,16850,16593,-203,8221,1385681
05/07/2021,17200,16937,000,25551,43946785
02/07/2021,17200,16937,178,20032,344540645
01/07/2021,16900,16642,018,2011,339859
30/06/2021,16870,16612,-047,3418,5721081
29/06/2021,16950,16691,-026,222,36726
28/06/2021,16995,16735,086,536,9104105
25/06/2021,16850,16593,000,221621,373431385
24/06/2021,16850,16593,-079,3578,60250315
23/06/2021,16985,16726,098,133384,224918965
22/06/2021,16820,16563,-100,363756,607620511
21/06/2021,16990,16730,113,2392,3992565
18/06/2021,16800,16543,188,17033,28303655
17/06/2021,16490,16238,079,25002,40893289
16/06/2021,16360,16110,006,132830,217173525
15/06/2021,16350,16100,000,35510,57604493
14/06/2021,16350,16100,216,36853,59189155
11/06/2021,16005,15760,-084,27938,44714699
10/06/2021,16140,15893,056,22408,35867245
09/06/2021,16050,15805,031,245441,39289631
08/06/2021,16000,15756,-074,2545,40720135
07/06/2021,16120,15874,075,1441,23230045
04/06/2021,16000,15756,-031,1783,285280
03/06/2021,16050,15805,-028,6994,11230628
02/06/2021,16095,15849,252,4565,7314299
01/06/2021,15700,15460,-063,630,9913715
31/05/2021,15800,15559,-186,2351,37443385
28/05/2021,16100,15854,155,9653,15487979
27/05/2021,15855,15613,000,1443,22881015
26/05/2021,15855,15613,016,15198,24141359
25/05/2021,15830,15588,013,7913,12557132
24/05/2021,15810,15568,-088,555,893733
21/05/2021,15950,15706,000,11223,179102785
20/05/2021,15950,15706,-093,909,1454334
19/05/2021,16100,15854,063,50762,820031055
18/05/2021,16000,15756,-123,10400,1664000
17/05/2021,16200,15952,247,27958,447353515
12/05/2021,15810,15568,038,2972,46980955
11/05/2021,15750,15509,-094,10351,16302674
10/05/2021,15900,15657,063,35,5565
07/05/2021,15800,15559,-125,166230,26265157
06/05/2021,16000,15756,000,16608,26568268
05/05/2021,16000,15756,000,0,0
04/05/2021,16000,15756,009,1602,25483945
03/05/2021,15985,15741,053,5893,94199905
30/04/2021,15900,15657,000,11781,1873029
29/04/2021,15900,15657,000,145019,23036421
28/04/2021,15900,15657,-056,60892,9681828
27/04/2021,15990,15746,-006,8650,1356905
26/04/2021,16000,15756,000,3064,488954
23/04/2021,16000,15756,000,2560,405750
22/04/2021,16000,15756,003,1712,2735596
21/04/2021,15995,15751,-003,1614,2550418
20/04/2021,16000,15756,127,1269,202820
19/04/2021,15800,15559,000,42,65786
16/04/2021,15800,15559,-125,665,105070
15/04/2021,16000,15756,000,0,0
14/04/2021,16000,15756,000,619,99034
13/04/2021,16000,15756,000,456,72960
12/04/2021,16000,15756,000,197,311333
09/04/2021,16000,15756,000,19319,3091040
08/04/2021,16000,15756,-019,54,8490
07/04/2021,16030,15785,-003,9,14427
06/04/2021,16035,15790,022,10,16035
05/04/2021,16000,15756,-056,6501,10214599
02/04/2021,16090,15844,056,131,210805
01/04/2021,16000,15756,198,2939,4702291
31/03/2021,15690,15450,-101,70000,10984000
30/03/2021,15850,15608,292,12500,1966250
29/03/2021,15400,15165,-375,423,65308
26/03/2021,16000,15756,-062,44001,704016115
25/03/2021,16100,15854,255,50153,803853705
24/03/2021,15700,15460,397,3270,504390
23/03/2021,15100,14869,-379,10030,1542530
22/03/2021,15695,15455,-066,35,53535
19/03/2021,15800,15559,077,7213,113598945
18/03/2021,15680,15440,275,2374,3713688
17/03/2021,15260,15027,242,426,647222
16/03/2021,14900,14672,-242,40,5985
15/03/2021,15270,15037,000,1551,2368377
12/03/2021,15270,15037,276,34812,53157924
11/03/2021,14860,14633,003,484,7190305
10/03/2021,14855,14628,000,0,0
09/03/2021,14855,14628,034,186,276985
08/03/2021,14805,14579,-114,271,4020155
05/03/2021,14975,14746,-083,2740,41100925
04/03/2021,15100,14869,000,0,0
03/03/2021,15100,14869,057,201,3035295
02/03/2021,15015,14786,-313,2151,32398545
01/03/2021,15500,15263,000,5002,77530965
26/02/2021,15500,15263,000,29401,455549815
25/02/2021,15500,15263,137,5265,815305
24/02/2021,15290,15056,-292,24221,3754192
23/02/2021,15750,15509,000,0,0
22/02/2021,15750,15509,158,1540,242576
19/02/2021,15505,15268,-124,520,80711
18/02/2021,15700,15460,090,1270,19681485
17/02/2021,15560,15322,-183,18,28008
16/02/2021,15850,15608,000,0,0
15/02/2021,15850,15608,-063,5013,7945165
12/02/2021,15950,15706,-022,100,15950
11/02/2021,15985,15741,-009,518,8107385
10/02/2021,16000,15756,-068,1081,1733016
09/02/2021,16110,15864,000,27252,43905196
08/02/2021,16110,15864,062,15422,24847873
05/02/2021,16010,15765,000,30250,4843725
04/02/2021,16010,15765,-087,45897,73478488
03/02/2021,16150,15903,094,29367,473233915
02/02/2021,16000,15756,063,2950,468992
01/02/2021,15900,15657,-118,11942,1908778
29/01/2021,16090,15844,056,5948,957029
28/01/2021,16000,15756,000,191,30591
27/01/2021,16000,15756,-123,625,10114075
26/01/2021,16200,15952,189,18763,297616795
25/01/2021,15900,15657,000,0,0
22/01/2021,15900,15657,192,38130,59487547
21/01/2021,15600,15362,-051,153,239888
20/01/2021,15680,15440,051,3360,52243055
19/01/2021,15600,15362,130,19211,299530385
18/01/2021,15400,15165,000,84,12780
15/01/2021,15400,15165,192,806,12330835
14/01/2021,15110,14879,-020,1320,199778
13/01/2021,15140,14909,-043,2838,4298879
12/01/2021,15205,14973,000,0,0
08/01/2021,15205,14973,-030,50,76025
07/01/2021,15250,15017,079,15903,242520635
06/01/2021,15130,14899,020,1569,23746395
05/01/2021,15100,14869,-195,10913,16579462
04/01/2021,15400,15165,-125,110,16910
31/12/2020,15595,15357,397,17162,26747599
30/12/2020,15000,14771,-132,214776,330626367
29/12/2020,15200,14968,-065,3824,58228535
28/12/2020,15300,15066,-123,507,775647
25/12/2020,15490,15253,144,74474,1151631135
24/12/2020,15270,15037,-148,13480,20584036
23/12/2020,15500,15263,003,7202,111610715
22/12/2020,15495,15258,157,3712910,5662429427
21/12/2020,15255,15022,-400,12640,19368361
18/12/2020,15890,15647,215,40701,642581745
17/12/2020,15555,15317,167,27154,421156725
16/12/2020,15300,15066,-186,691,10591215
15/12/2020,15590,15352,-006,49,76401
14/12/2020,15600,15362,-064,5461,8526202
11/12/2020,15700,15460,329,41334,646568555
10/12/2020,15200,14968,066,10003,152046125
09/12/2020,15100,14869,-043,1722,26080245
08/12/2020,15165,14933,010,391,5931115
07/12/2020,15150,14919,003,1135,1719545
04/12/2020,15145,14914,-075,26739,407366015
