date,closing,adjusted,evolution,quantity,volume
08/12/2021,33300,33300,091,145,482675
07/12/2021,33000,33000,-030,3,990
06/12/2021,33100,33100,-119,445,148055
03/12/2021,33500,33500,030,6048,199763285
02/12/2021,33400,33400,009,312,1041865
01/12/2021,33370,33370,-039,166,55432
30/11/2021,33500,33500,168,5443,17593922
29/11/2021,32945,32945,-017,6850,225687105
26/11/2021,33000,33000,-250,12879,4252070
25/11/2021,33845,33845,000,0,0
24/11/2021,33845,33845,088,70,234103
23/11/2021,33550,33550,-100,699,234189
22/11/2021,33890,33890,116,12330,41306738
19/11/2021,33500,33500,-118,5521,1852035
17/11/2021,33900,33900,150,310,103942
16/11/2021,33400,33400,-174,3000,1002000
15/11/2021,33990,33990,086,89,297117
12/11/2021,33700,33700,-058,510,171869
11/11/2021,33895,33895,-024,2086,6925614
10/11/2021,33975,33975,233,15,509625
09/11/2021,33200,33200,-206,702,23370655
08/11/2021,33900,33900,-021,5,1695
05/11/2021,33970,33970,-009,1070,36382435
04/11/2021,34000,34000,-173,2492,8479769
03/11/2021,34600,34600,-086,55,19040
02/11/2021,34900,34900,-029,2,698
01/11/2021,35000,35000,029,146,51020
29/10/2021,34900,34900,-057,4534,15801166
28/10/2021,35100,35100,073,3855,135040045
27/10/2021,34845,34845,366,693,23633425
26/10/2021,33615,33615,-055,32711,1109588105
25/10/2021,33800,33800,150,1290,42981375
22/10/2021,33300,33300,246,41177,135879119
21/10/2021,32500,32500,000,0,0
18/10/2021,32500,32500,126,31831,1034125785
15/10/2021,32095,32095,030,2703,86388155
14/10/2021,32000,32000,000,1047,334800
13/10/2021,32000,32000,156,5542,175697205
12/10/2021,31510,31510,-091,749,2368961
11/10/2021,31800,31800,000,50,159043
08/10/2021,31800,31800,024,1983,634801
07/10/2021,31725,31725,008,178,571985
06/10/2021,31700,31700,000,1397,442777
05/10/2021,31700,31700,028,19363,613964915
04/10/2021,31610,31610,035,953,3016951
01/10/2021,31500,31500,-217,7303,23323252
30/09/2021,32200,32200,387,16382,52634884
29/09/2021,31000,31000,137,253,78430
28/09/2021,30580,30580,-135,6057,18522472
27/09/2021,31000,31000,-096,245,7592675
24/09/2021,31300,31300,262,18912,5857240
23/09/2021,30500,30500,133,5093,1530355
22/09/2021,30100,30100,203,14296,42799587
21/09/2021,29500,29500,000,388,1144515
20/09/2021,29500,29500,-047,260,76700
17/09/2021,29640,29640,364,12232,35700923
16/09/2021,28600,28600,035,1501,429286
15/09/2021,28500,28500,-070,1911,5435242
14/09/2021,28700,28700,174,90,25908
13/09/2021,28210,28210,-205,30,84625
10/09/2021,28800,28800,000,0,0
09/09/2021,28800,28800,213,2257,6455077
08/09/2021,28200,28200,-140,1475,417365
07/09/2021,28600,28600,000,0,0
06/09/2021,28600,28600,072,100,28408
03/09/2021,28395,28395,141,500,141975
02/09/2021,28000,28000,-141,50,14000
01/09/2021,28400,28400,000,0,0
31/08/2021,28400,28400,238,1005,2808132
30/08/2021,27740,27740,-299,53,147022
27/08/2021,28595,28595,053,5744,163697325
26/08/2021,28445,28445,035,1,28445
25/08/2021,28345,28345,-019,511,1402564
24/08/2021,28400,28400,071,9,2508
23/08/2021,28200,28200,-104,1000,282000
19/08/2021,28495,28495,069,18,51135
18/08/2021,28300,28300,000,0,0
17/08/2021,28300,28300,000,2285,6473435
16/08/2021,28300,28300,000,0,0
13/08/2021,28300,28300,217,1438,40469115
12/08/2021,27700,27700,-212,350,96950
11/08/2021,28300,28300,000,0,0
09/08/2021,28300,28300,-028,16,4532
06/08/2021,28380,28380,-007,132,374616
05/08/2021,28400,28400,076,28,78717
04/08/2021,28185,28185,066,2860,79018785
03/08/2021,28000,28000,000,190,53200
